English,Portuguese
trench,trincheira
bribe,propina
friend,amigo
leaf,folha
poison,veneno
snow,neve
bone,osso
knee,joelho
scarf,cachecol
carpet,tapete
plate,prato
donkey,burro
dog,cachorro
manure,estrume
parrot,papagaio
cloud,nuvem
horse,cavalo
frog,sapo
yeast,levedura
olives,azeitona
boat,barco
garden,jardim
cheese,queijo
sleep,sono
egg,ovo
glue,cola
lake,lago
bucket,balde
crab,caranguejo
queen,rainha
dust,poeira
wheel,roda
silk,seda
beer,cerveja
trouble,problema
food,comida
soul,alma
